Accession Code (sample#),LakeName,DEC_Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH_air_eq,ANC(ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2)
10446096,Middle Settlement,40704,3-Aug-04,10,I,0.5,Ye,6.6,11.1,5.55,-0.55,12.04,0.02,0.85,0.49,1.44,0.04,0.17,4.62,0.01,0.06,0.89,1.21,3.64,72.72,1.58,0.5,1.07,0.2,1.18,2.43,1.13,0.7,30.19,0.27,6.8,0.13,0.21,16.89,0.85,41.7,92.98,30.06,0.54,29.52,TDL,black,98.3,544603,6.2,15.8,158000
10546010,Middle Settlement,40704,12-Jul-05,10.5,I,3,Ye,6.3,12.2,5.66,3.52,5,0.01,0.35,0.5,1.69,0.04,0.33,9.24,0.01,0.06,0.89,1.06,3.18,63.6,6.1,1.04,2.04,0.16,0.97,1.73,0.81,0.75,32.08,0.24,6.05,0.52,0.2,16.48,0.85,41.65,91.24,29.71,0,29.71,TDL,black,98.3,544603,6.2,15.8,158000
10546096,Middle Settlement,40704,9-Aug-05,10.4,I,3,Ye,5.9,13.4,5.74,2.33,5,0.01,0.35,0.45,1.36,0.06,0.31,8.71,0.01,0.06,0.89,1.03,3.09,61.8,6.45,1.61,0.5,0.27,1.11,1.37,0.64,0.76,32.85,0.25,6.13,0.21,0.2,16.73,0.86,42.24,56.39,23.07,0,23.07,TDL,black,98.3,544603,6.2,15.8,158000
10646011,Middle Settlement,40704,13-Jul-06,9.9,I,3,Ye,4.3,12.9,5.29,-1.99,14.9,0.02,1.05,0.83,2.53,0.03,0.31,8.6,0.01,0.06,0.89,0.99,2.96,59.22,,1.44,1.54,0.29,1,3.42,1.6,0.61,26.06,0.23,5.65,0.48,0.15,12.46,0.65,31.7,225,68.67,11.06,57.61,TDL,black,98.3,544603,6.2,15.8,158000
10646096,Middle Settlement,40704,9-Aug-06,10.6,I,3,Ye,5.1,11.3,5.43,5.28,5,0.01,0.35,0.43,2.34,0.05,0.21,5.99,0.01,0.06,0.89,1.01,3.03,60.6,4.94,5.53,1.36,0.19,3.96,1.1,0.52,0.56,23.95,0.15,3.68,0.2,0.15,12.46,0.83,40.52,126.45,33.86,0,33.86,TDL,black,98.3,544603,6.2,15.8,158000
10746003,Middle Settlement,40704,12-Jul-07,10.4,I,3,Ye ,4.4,11,5.67,2.13,5,0.01,0.35,0.42,3.42,0.03,0.24,6.83,0.03,0.11,1.77,1.06,3.18,63.6,10.22,4.38,1.3,0.12,2.52,0.1,0.21,0.55,23.69,0.17,4.35,0.13,0.15,12.46,0.69,33.81,117.57,49.97,3.83,46.14,TDL,black,98.3,544603,6.2,15.8,158000
10746044,Middle Settlement,40704,1-Aug-07,10.1,I,2,Ye,5.2,10,5.67,4.38,5,0.01,0.35,0.45,2.32,0.03,0.22,6.13,0.03,0.11,1.77,1.02,3.06,61.2,6.01,1.37,0.5,0.25,1.5,0.1,0.21,0.57,24.3,0.28,6.9,0.33,0.14,11.81,0.71,34.55,92.74,29.33,3.02,26.31,TDL,black,98.3,544603,6.2,15.8,158000
10846003,Middle Settlement,40704,1-Jul-08,9.9,I,2,Ye,6.1,5.3,5.55,5.53,5,0.01,0.35,0.51,2.07,0.05,0.46,12.85,0.03,0.11,1.77,1.14,3.42,68.4,3.43,2.77,1.91,0.34,1.06,0.27,0.57,0.5,21.37,0.19,4.68,,0.16,12.96,1.03,50.52,151.17,12.57,0.11,12.47,TDL,black,98.3,544603,6.2,15.8,158000
10846044,Middle Settlement,40704,5-Aug-08,10,I,4,Ye,3,9,5.74,1.95,21.4,0.03,1.51,,2.08,0.03,0.23,6.41,0.03,0.11,1.77,0.98,2.95,59,4.64,3.4,2.27,0.13,3.93,0.32,0.68,0.48,20.77,0.17,4.35,0.13,0.11,9.35,0.78,38.42,120.82,59.34,35.19,24.15,TDL,black,98.3,544603,6.2,15.8,158000
9446823,Middle Settlement,40704,20-Jun-94,10,G,9,Yh,7.4,19,5.91,3.3,130,0.17,9.19,0.52,2.44,,0.43,12.04,0.07,0.32,5.17,1.34,4.02,80.4,10.6,3,2.9,0.38,4.5,1.34,2.87,0.56,24.08,0.26,6.5,0.5,0.2,16.4,1.18,58.03,183,110,58,52,TDL,black,98.3,544603,6.2,15.8,158000
9446881,Middle Settlement,40704,25-Jul-94,9.2,G,8,Yh,7.1,19,5.6,3.6,170,0.22,12.02,0.4,2.11,,0.55,15.4,0.08,0.34,5.46,1.29,3.87,77.4,11.3,1.5,5.8,0.4,3.69,1.36,2.91,0.57,24.51,0.28,7,0.26,0.22,18.12,1.21,59.4,173,110,47,63,TDL,black,98.3,544603,6.2,15.8,158000
9446951,Middle Settlement,40704,23-Aug-94,10.5,G,9,Yh,5.5,16.5,6.07,31.5,390,0.5,27.58,0.77,3.49,,0.5,14,0.01,0.04,0.57,1.13,3.39,67.8,17.4,5.6,1.7,0.52,5.68,1.22,2.61,0.67,28.81,0.34,8.5,1.75,0.23,18.7,1.23,60.04,189,170,41,129,TDL,black,98.3,544603,6.2,15.8,158000
9546826,Middle Settlement,40704,14-Jun-95,9.6,G,9,Yh,8.25,17,5.31,-5.5,60,0.08,4.24,1.19,2.77,,0.79,22.06,0.04,0.18,2.83,1.27,3.82,76.44,3.1,,3.4,0.34,,1.41,3.02,0.64,27.52,0.28,7,0.12,0.2,16.4,1.15,56.24,207,70,49,21,TDL,black,98.3,544603,6.2,15.8,158000
9546927,Middle Settlement,40704,15-Aug-95,10,G,9,Yh,4.5,15.5,5.21,-3.3,28,0.04,1.98,3.63,4.1,,0.15,4.2,0.02,0.08,1.2,1.61,4.84,96.89,19.6,2.95,1.1,2.6,41,3.6,7.7,0.66,28.38,0.31,7.75,1.46,0.2,16.4,1.71,83.75,255,86,58,28,TDL,black,98.3,544603,6.2,15.8,158000
9546960,Middle Settlement,40704,7-Sep-95,9.5,G,9,Yh,7.1,14,5.63,49.7,107,0.14,7.57,2.87,4.75,,0.48,13.36,0.02,0.07,1.06,1.01,3.04,60.8,0.5,2.43,4.36,2,2.77,0.12,0.26,0.72,30.96,0.33,8.25,0.83,0.21,17.22,1.19,58.55,189,66,52,14,TDL,black,98.3,544603,6.2,15.8,158000
9646710,Middle Settlement,40704,18-Jun-96,10.1,G,9,Yh,6.45,14.2,5.76,13.3,224,0.29,15.84,1.02,5.74,,0.57,15.88,0.09,0.42,6.66,1.45,4.34,86.88,8.08,3.59,6.73,0.64,2.1,1.1,2.35,0.62,26.66,0.24,6,0.85,0.19,15.58,1.05,51.68,333,180,84,96,TDL,black,98.3,544603,6.2,15.8,158000
9646800,Middle Settlement,40704,16-Jul-96,10.4,G,9,Yh,6.8,14.5,5.56,-1.88,218,0.28,15.42,0.75,3.05,,0.37,10.36,0.03,0.15,2.34,1.63,4.89,97.8,23.53,4.33,3.02,0.75,11.77,1.3,2.78,0.61,26.23,0.24,6,1.09,0.21,17.22,0.98,48.12,319,140,81,59,TDL,black,98.3,544603,6.2,15.8,158000
9646871,Middle Settlement,40704,14-Aug-96,10.2,G,9,Yh,8,16.9,6.02,32.1,284,0.37,20.09,0.88,5.44,,0.56,15.6,0.03,0.11,1.77,1.12,3.37,67.32,16.92,6.45,4.4,1.03,21.25,1.71,3.66,0.67,28.81,0.27,6.75,2.3,0.21,17.22,1.29,63.31,345,110,48,62,TDL,black,98.3,544603,6.2,15.8,158000
9746834,Middle Settlement,40704,8-Jul-97,9.5,G,9,Yh,7.9,16.3,6.12,-1.37,24,0.03,1.7,4.4,3.8,0.12,0.37,10.36,0.04,0.18,2.83,1.19,3.57,71.4,11.6,2.34,4.6,0.54,3.55,1.82,3.89,0.65,27.95,0.31,7.75,0.61,0.19,15.58,1.22,59.88,125,69,12,57,TDL,black,98.3,544603,6.2,15.8,158000
9746907,Middle Settlement,40704,12-Aug-97,9.9,G,9,Yh,7.3,16.6,6.38,27,5,0.01,0.35,4.18,6.4,0.06,0.3,8.4,0.06,0.27,4.25,1.09,3.27,65.4,15.7,1.3,2.1,0.54,3.3,1.52,3.24,0.7,30.1,0.34,8.5,0.6,0.26,21.4,1.51,74,230,120,54,66,TDL,black,98.3,544603,6.2,15.8,158000
9846610,Middle Settlement,40704,9-Jul-98,10,G,9,Yh,6.2,17.56,6.67,93.79,589.49,0.76,41.69,5.52,4.6,0.03,0.33,9.24,0.02,0.09,1.42,0.81,2.43,48.6,17.52,4.66,5.3,1.19,13.73,1.82,3.89,0.59,25.24,0.3,7.6,1.39,0.23,18.53,1.75,85.91,,60.72,35.74,24.99,TDL,black,98.3,544603,6.2,15.8,158000
9846682,Middle Settlement,40704,12-Aug-98,10,G,6,Yh,3.2,15.66,6.83,65.46,543.2,0.7,38.42,6.09,4.48,0.02,0.1,2.8,0.01,0.04,0.71,1.1,3.3,66,21.81,5.85,3.42,1.63,32.89,1.78,3.81,0.63,27.18,0.34,8.55,2.22,0.24,19.84,1.65,81.04,,24.48,1.56,22.92,TDL,black,98.3,544603,6.2,15.8,158000
9946110,Middle Settlement,40704,8-Jul-99,9.8,G,9,Yh,7.2,17.9,6.36,36.28,517.63,0.67,36.61,5.48,1.6,0.04,0.28,7.84,0.02,0.09,1.42,1.23,3.69,73.8,12.39,2.13,2.24,0.62,0.7,1.74,3.73,0.64,27.48,0.3,7.6,1.49,0.23,19.19,1.15,56.35,197.46,36.76,12.15,24.61,TDL,black,98.3,544603,6.2,15.8,158000
9946182,Middle Settlement,40704,18-Aug-99,9.6,G,9,Yh,7.8,15.7,5.99,42.19,167.46,0.22,11.84,,1.29,0.06,0.43,12.04,0.01,0.04,0.71,1.14,3.42,68.4,12.25,2.21,1.5,0.86,36.2,1.64,3.52,0.67,28.98,0.37,9.25,0.95,0.24,19.27,1.01,49.64,81.57,3.63,0,3.63,TDL,black,98.3,544603,6.2,15.8,158000
10046510,Middle Settlement,40704,20-Jul-00,10.4,G,9,Yh,8,15.3,5.97,9.37,216,0.28,15.28,3.98,2.2,0.05,0.46,12.8,0.08,0.33,5.31,1.79,5.38,107.58,10.87,3.73,2.99,0.46,2.49,1.55,3.32,0.61,26.06,0.24,6,0.56,0.19,15.25,1.18,57.87,244.01,68.31,17.51,50.8,TDL,black,98.3,544603,6.2,15.8,158000
10046583,Middle Settlement,40704,16-Aug-00,9.4,G,9,Yh,7.9,14.3,5.93,15.46,132.8,0.17,9.39,5.03,2.19,0.05,0.54,15.23,0.02,0.08,1.2,1.19,3.57,71.46,16.66,4.18,3.78,0.48,,1.52,3.24,0.58,24.73,0.29,7.35,0.82,0.18,14.51,1.1,53.8,194.14,52.95,10.87,42.08,TDL,black,98.3,544603,6.2,15.8,158000
10146011,Middle Settlement,40704,11-Jul-01,9.75,G,9,Yh,5.4,21.6,6.59,259.71,820.16,1.05,58.01,8.46,8.41,0.05,0.32,8.82,0.01,0.02,0.35,0.46,1.37,27.3,10.91,5.12,2.92,3.18,2.5,1.98,4.24,0.74,31.99,0.39,9.73,9.26,0.24,19.84,1.74,85.21,358.07,67.25,13.27,53.98,TDL,black,98.3,544603,6.2,15.8,158000
10146091,Middle Settlement,40704,7-Sep-01,10.2,G,9,Yh,7.2,26,7.34,194.58,648.97,0.83,45.9,11.47,6.12,0.04,0.39,10.98,0.01,0.02,0.35,0.61,1.84,36.72,13.8,5.91,1.6,3.45,,1.91,4.09,0.14,5.98,0.4,9.9,4.63,0.24,19.27,2.25,110.01,450.35,97.3,16.69,80.61,TDL,black,98.3,544603,6.2,15.8,158000
10246013,Middle Settlement,40704,13-Sep-02,9,G,7,Yh,6,13.5,5.72,-7.31,28.29,0.04,2,1.64,1.8,0.03,0.29,8.12,0.04,0.19,3.05,1.14,3.41,68.16,6.25,1.33,1.5,0.35,1.13,0.71,1.52,0.62,26.75,0.23,5.85,0.13,0.19,15.83,1.14,55.81,129.84,30.98,0,30.98,TDL,black,98.3,544603,6.2,15.8,158000
10246098,Middle Settlement,40704,18-Sep-02,9.1,G,8,Yh,6.2,14.1,6.06,1.43,36.9,0.05,2.61,4.47,1.43,0.05,0.38,10.53,0.01,0.06,0.92,1.15,3.46,69.24,14.79,3.44,1.08,0.6,39.06,1.5,3.21,0.65,28.04,0.26,6.5,0.97,0.2,16.24,1.01,49.44,215.7,38.39,3.34,35.05,TDL,black,98.3,544603,6.2,15.8,158000
10346011,Middle Settlement,40704,9-Jul-03,9,G,8,Yh,7,15.2,6.38,29.58,266.68,0.34,18.86,4.89,1.75,0.04,0.21,5.77,0.06,0.28,4.54,1.12,3.37,67.44,16.66,3.18,2.11,0.72,22.47,1.6,3.42,0.62,26.57,0.3,7.55,0.72,0.18,14.76,1.17,57.33,289.53,62.05,11.11,50.94,TDL,black,98.3,544603,6.2,15.8,158000
10346098,Middle Settlement,40704,6-Aug-03,10.2,G,9,Yh,4.5,14.6,6.45,25.07,213.43,0.27,15.1,5.9,1.58,0.05,0.35,9.66,0.01,0.06,0.89,1.11,3.34,66.78,14.87,3.6,0.5,0.68,37.9,1.68,3.6,0.63,27,0.24,5.9,1.26,0.19,15.58,1.09,53.21,297.09,54.64,1.08,53.56,TDL,black,98.3,544603,6.2,15.8,158000
10446012,Middle Settlement,40704,13-Jul-04,8.9,G,7,Yh,7,12,6.16,33.07,194.61,0.25,13.76,4.84,1.05,0.03,0.27,7.45,0.05,0.24,3.83,1.04,3.11,62.16,6.56,3.33,1.22,0.48,2.24,1.78,3.81,0.7,30.1,0.28,7.1,0.41,0.23,18.86,1,49.2,213.03,35.4,10.33,25.07,TDL,black,98.3,544603,6.2,15.8,158000
10446097,Middle Settlement,40704,3-Aug-04,10,G,9,Yh,6.6,15.4,6.81,53.48,434.9,0.56,30.76,6.54,2.07,0.04,0.38,10.5,0.01,0.06,0.89,1,3,60,7.32,3.49,1.43,1.09,32.23,2.5,5.35,0.69,29.5,0.35,8.65,3.08,0.25,20.09,1.18,57.92,279.71,14.98,6.45,8.53,TDL,black,98.3,544603,6.2,15.8,158000
10546011,Middle Settlement,40704,12-Jul-05,10.5,G,9,Yh,6.3,13.2,6.29,25.04,215,0.28,15.21,5.44,1.61,0.04,0.4,11.17,0.01,0.06,0.89,0.91,2.74,54.72,18.56,3.81,2.07,0.67,37.09,1.79,3.83,0.69,29.63,0.29,7.35,1.23,0.19,15.91,0.88,42.97,290.51,40.83,13.87,26.96,TDL,black,98.3,544603,6.2,15.8,158000
10546097,Middle Settlement,40704,9-Aug-05,10.4,G,9,Yh,5.9,17.4,6.71,42.35,235,0.3,16.62,6.63,1.32,0.04,0.41,11.56,0.01,0.06,0.89,0.85,2.55,51,15.55,3.2,1.7,1.05,19.64,1.93,4.13,0.72,31.09,0.31,7.85,2.89,0.2,16.4,1.02,50.08,279.65,37.97,12.87,25.09,TDL,black,98.3,544603,6.2,15.8,158000
10646012,Middle Settlement,40704,13-Jul-06,9.9,G,9,Yh,4.3,16.6,6.64,40.33,294,0.38,20.79,5.77,1.96,0.04,0.42,11.84,0.01,0.06,0.89,0.99,2.98,59.52,19.96,4.98,2.64,0.97,6.83,1.9,4.07,0.68,29.37,0.29,7.28,2,0.18,15.01,0.94,46.01,396.95,27.9,4.13,23.77,TDL,black,98.3,544603,6.2,15.8,158000
10646097,Middle Settlement,40704,9-Aug-06,10.6,G,9,Yh,5.1,15.8,6.63,42.05,386,0.5,27.3,6.07,1.49,0.05,0.36,10.08,0.01,0.06,0.89,1,3,60,11.17,3.85,3.3,0.89,10.01,1.66,3.55,0.65,27.78,0.27,6.68,2.01,0.19,15.5,1.12,54.98,384.83,27.82,3.02,24.8,TDL,black,98.3,544603,6.2,15.8,158000
10746004,Middle Settlement,40704,12-Jul-07,10.4,G,9,Yh,4.4,14.4,6.59,35.9,254,0.33,17.97,7.18,3.75,0.03,0.35,9.66,0.03,0.11,1.77,0.92,2.75,54.96,14.1,9.62,1.89,0.78,36.28,2.4,5.14,0.67,28.98,0.28,7.03,1.57,0.2,16.15,0.96,47.19,273.62,51.05,29.36,21.69,TDL,black,98.3,544603,6.2,15.8,158000
10746045,Middle Settlement,40704,1-Aug-07,10.1,G,9,Yh,5.2,15.7,6.84,64.9,136.49,0.18,9.65,8.21,2.15,0.03,0.37,10.28,0.03,0.11,1.77,0.91,2.72,54.36,17.96,8.51,1.29,1.21,17.92,2.8,5.99,0.71,30.49,0.42,10.5,3.25,0.19,15.74,1.3,63.8,333.88,45.63,27.06,18.56,TDL,black,98.3,544603,6.2,15.8,158000
10846004,Middle Settlement,40704,1-Jul-08,9.9,G,8,Yh,6.1,7.6,6.74,50.71,57.6,0.07,4.07,5.69,1.89,0.05,0.53,14.9,0.03,0.11,1.77,0.95,2.86,57.24,11.51,3.95,2.19,0.49,18.24,1.78,3.81,0.63,27.22,0.31,7.7,,0.21,17.06,1.62,79.48,174.22,10.39,4.34,6.05,TDL,black,98.3,544603,6.2,15.8,158000
10846045,Middle Settlement,40704,5-Aug-08,10,G,9,Yh,3,16.5,7.1,103.63,663,0.85,46.89,,1.91,0.05,0.39,10.89,0.03,0.11,1.77,0.69,2.08,41.64,17.38,5.73,3.34,1.53,92.89,2.22,4.75,0.67,28.81,0.4,10,0.84,0.2,16.24,1.89,92.81,265.87,20.43,8.61,11.82,TDL,black,98.3,544603,6.2,15.8,158000
9446831,Moss,40746,28-Jun-94,13.2,I,4,Ye,5.8,19,5.53,31,25,0.03,1.77,0.82,2.87,,0.38,10.64,0.31,1.35,21.61,1.46,4.38,87.6,9,3.2,0.5,0.5,0.9,2.93,6.27,0.79,33.97,0.46,11.5,0.13,0.52,42.64,1.04,51.07,101,42,28,14,MDL,black,1314.7,2597578,11.9,45.7,457000
9446912,Moss,40746,2-Aug-94,14.1,I,4,Ye,5.6,28,6.61,71.4,25,0.03,1.77,,3.44,,0.5,14,0.23,1.01,16.16,1.55,4.65,93,3,1.1,2.2,0.43,1.5,2.89,6.18,0.83,35.69,0.4,10,0.05,0.52,42.48,3.17,155.1,76,17,15,2,MDL,black,1314.7,2597578,11.9,45.7,457000
9446956,Moss,40746,24-Aug-94,13.2,I,6,Ye,5.3,28,7.04,100.1,25,0.03,1.77,,4.05,,,,0.19,0.84,13.46,1.57,4.71,94.2,6.2,2.1,2.4,0.38,1.96,3.08,6.59,0.9,38.7,0.44,11,0.11,0.53,43.46,3.56,174.53,88,31,30,1,MDL,black,1314.7,2597578,11.9,45.7,457000
9546849,Moss,40746,19-Jun-95,13.8,I,3,Ye,8.7,26,7.06,86.6,,,,1.68,3.19,,,,0.34,1.51,24.16,1.65,4.96,99.18,2.9,3.8,0.5,0.47,,2.96,6.33,0.98,42.14,0.57,14.25,0.15,0.53,43.46,3.16,154.94,96,42,32,10,MDL,black,1314.7,2597578,11.9,45.7,457000
9546868,Moss,40746,9-Aug-95,13,I,4,Ye,4.5,32,6.86,74,40,0.05,2.83,2.18,3.83,,0.76,21.28,0.25,1.11,17.72,1.61,4.82,96.3,2.2,2.3,1.5,1.1,1.29,3.4,7.28,0.98,42.14,0.62,15.5,0.11,0.58,47.56,3.46,169.49,43,14,9,5,MDL,black,1314.7,2597578,11.9,45.7,457000
9546968,Moss,40746,13-Sep-95,13.3,I,6,Ye,5.7,27,7,51.4,65,0.08,4.6,4.7,3.62,,0.68,18.98,0.14,0.61,9.78,1.33,4,80.01,2,3.58,1.89,0.31,1.25,2.25,4.82,0.88,37.84,0.54,13.5,0.05,0.56,45.92,3.35,163.92,32,9,0,9,MDL,black,1314.7,2597578,11.9,45.7,457000
9646755,Moss,40746,25-Jun-96,14,I,2,Ye,,21.1,6.32,47.2,22,0.03,1.56,1.21,5.41,,0.4,11.2,0.2,0.89,14.17,1.26,3.78,75.6,5.63,1.8,2.32,0.57,1.75,0.27,0.58,0.88,37.84,0.36,9,0.05,0.45,36.9,1.94,95.03,145,47,42,5,MDL,black,1314.7,2597578,11.9,45.7,457000
9646826,Moss,40746,15-Jul-96,14,I,3,Ye,3.6,21.1,6.63,63.95,5,0.01,0.35,0.98,3.77,,0.42,11.76,0.21,0.95,15.16,1.53,4.59,91.8,4.77,0.5,1.94,0.55,1.94,0.39,0.83,0.88,37.84,0.36,9,0.13,0.49,40.18,2.21,108.4,125,47,34,13,MDL,black,1314.7,2597578,11.9,45.7,457000
9646898,Moss,40746,20-Aug-96,13.6,I,3,Ye,5.1,24.4,6.87,66.2,42,0.05,2.97,1.53,6.72,,0.51,14.22,0.19,0.82,13.18,1.71,5.12,102.3,3.76,0.5,1.76,0.44,0.96,2.7,5.78,0.95,40.85,0.37,9.25,0.05,0.52,42.64,2.84,139.09,182,56,43,13,MDL,black,1314.7,2597578,11.9,45.7,457000
9746860,Moss,40746,15-Jul-97,13.5,I,2,Ye,3.2,25.2,6.71,45.99,5,0.01,0.35,1.11,6.7,0.2,0.32,8.96,0.26,1.15,18.42,1.52,4.56,91.2,6.5,1.4,1.8,0.36,1,2.69,5.76,0.92,39.56,0.44,11,0.05,0.39,31.98,2.93,143.72,242,99,82,17,MDL,black,1314.7,2597578,11.9,45.7,457000
9746933,Moss,40746,19-Aug-97,12.7,I,4,Ye,4,25.2,6.88,96,5,0.01,0.35,1.15,3.6,0.19,0.25,7,0.21,0.93,14.88,1.57,4.71,94.2,4.6,1.2,2.5,0.37,0.6,2.83,6.06,1.04,44.72,0.55,13.75,0.05,0.62,51,2.68,131.15,31,14,0,14,MDL,black,1314.7,2597578,11.9,45.7,457000
9846660,Moss,40746,13-Jul-98,13.7,I,3,Ye,3.2,23.2,6.82,87.68,2.5,0,0.18,0.99,4.6,0.03,0.32,8.88,0.17,0.74,11.91,1.5,4.5,90,3.38,1.38,3.55,0.36,1.61,2.6,5.56,0.88,37.75,0.44,11.08,0.05,0.43,35.34,2.81,137.54,,31.77,18.85,12.93,MDL,black,1314.7,2597578,11.9,45.7,457000
9846732,Moss,40746,18-Aug-98,12.5,I,3,Ye,3.65,21.9,6.7,72.79,11.84,0.02,0.84,1.14,4.81,0.12,0.4,11.2,0.13,0.58,9.21,1.52,4.56,91.2,3.8,2.6,3.22,0.4,1.9,2.62,5.6,0.94,40.38,0.39,9.83,0.12,0.58,47.56,2.33,114.22,,22.97,2.95,20.02,MDL,black,1314.7,2597578,11.9,45.7,457000
9946159,Moss,40746,30-Jun-99,13,I,3,Ye,5.5,25.6,6.98,91.44,7.17,0.01,0.51,1.65,2.68,0.07,0.36,10.08,0.18,0.8,12.76,1.54,4.62,92.4,5.17,2.23,1.65,0.35,1.06,2.95,6.31,1.11,47.77,0.46,11.6,0.12,0.56,45.59,2.75,134.6,56.21,5.57,0,5.57,MDL,black,1314.7,2597578,11.9,45.7,457000
9946233,Moss,40746,23-Aug-99,13.5,I,5,Ye,5.2,26.75,6.98,110.77,12.99,0.02,0.92,,1.99,0.1,0.4,11.2,0.08,0.33,5.31,1.4,4.2,84,3.47,1.93,2.22,0.27,1.71,2.07,4.42,1.07,45.97,0.47,11.83,0.27,0.58,47.23,2.66,130.39,22.09,5.28,0,5.28,MDL,black,1314.7,2597578,11.9,45.7,457000
10046563,Moss,40746,13-Jul-00,14,I,3,Ye,3.3,21.6,6.81,61.12,5.91,0.01,0.42,0.5,4.79,0.11,0.4,11.28,0.1,0.46,7.37,1.59,4.77,95.34,5.08,2.78,1.46,0.32,0,2.72,5.82,0.81,34.74,0.35,8.73,0.05,0.4,33.05,2.56,125.59,127.87,24.45,10.5,13.96,MDL,black,1314.7,2597578,11.9,45.7,457000
10046635,Moss,40746,23-Aug-00,12.8,I,4,Ye,2.8,21.4,6.78,79.6,2.5,0,0.18,1.51,4.71,0.12,0.29,8.15,0.03,0.14,2.2,1.42,4.27,85.44,5.24,4.96,3.35,0.26,5.52,2.37,5.07,0.92,39.65,0.38,9.4,0.17,0.44,36.33,2.69,131.66,62.01,19.06,7.03,12.04,MDL,black,1314.7,2597578,11.9,45.7,457000
10146070,Moss,40746,18-Jul-01,14,I,1,Ye,6.4,23,6.8,72.81,9.95,0.01,0.7,0.95,3.71,0.11,0.42,11.73,0.13,0.55,8.86,1.46,4.37,87.36,3.67,2.52,1.8,0.29,1.13,2.23,4.77,0.59,25.33,0.36,8.9,0.13,0.43,34.93,1.69,82.66,87.78,28.89,3.25,25.64,MDL,black,1314.7,2597578,11.9,45.7,457000
10146150,Moss,40746,7-Aug-01,14.2,I,2,Ye,4.5,23.7,7.08,92.95,3.18,0,0.22,1.43,3.34,0.12,0.3,8.46,0.1,0.42,6.73,1.46,4.39,87.84,3.42,1.8,3.16,0.31,1.97,2.4,5.14,0.8,34.19,0.36,8.9,0.13,0.46,37.97,2.56,125.44,59.55,6.53,2.21,4.32,MDL,black,1314.7,2597578,11.9,45.7,457000
10246073,Moss,40746,14-Aug-02,13.9,I,5,Ye,5.8,23.9,7.1,92.81,21.44,0.03,1.52,1.21,2.74,0.13,0.36,10.14,0.1,0.44,7.02,1.54,4.61,92.16,5.27,2.81,1.6,0.28,1.9,2.8,5.99,0.99,42.57,0.4,9.9,0.13,0.49,39.93,2.72,133.48,173.34,4.25,0,4.25,MDL,black,1314.7,2597578,11.9,45.7,457000
10246154,Moss,40746,17-Sep-02,13.7,I,5,Ye,4.4,25.1,7.1,99.9,5,0.01,0.35,1.51,2.53,0.15,0.45,12.66,0.08,0.36,5.74,1.67,5,100.02,3.91,2.64,1.74,0.28,3.58,2.66,5.69,1.03,44.16,0.44,11.08,0.13,0.52,42.89,2.68,131.17,27.82,4.83,0,4.83,MDL,black,1314.7,2597578,11.9,45.7,457000
10346076,Moss,40746,15-Jul-03,13,I,3,Ye,4.2,23.5,7.04,79.34,23.88,0.03,1.69,,3.08,0.11,0.61,16.97,0.16,0.7,11.13,1.6,4.8,96,4.35,1.98,1.37,0.3,1.55,2.88,6.16,0.95,40.68,0.41,10.3,0.13,0.51,42.15,1.68,82.12,64.38,16.62,0,16.62,MDL,black,1314.7,2597578,11.9,45.7,457000
10346162,Moss,40746,13-Aug-03,,I,,Ye,,26.3,7.07,88.58,12.15,0.02,0.86,1.36,2.52,0.12,0.39,10.98,0.12,0.54,8.65,1.62,4.87,97.44,3.83,1.21,0.5,0.27,3.73,2.83,6.06,0.92,39.35,0.41,10.15,0.13,0.45,36.74,2.99,146.31,47.44,10.71,0,10.71,MDL,black,1314.7,2597578,11.9,45.7,457000
10346188,Moss,40746,5-Sep-03,13.7,I,4,Ye,3.5,26.9,7.06,93.81,37.46,0.05,2.65,,3.15,0.13,0.4,11.14,0.09,0.38,6.02,1.68,5.05,100.92,4.86,1.48,1.66,0.28,3.49,2.56,5.48,0.98,41.97,0.42,10.6,0.13,0.51,42.07,2.85,139.41,35.56,8.74,0,8.74,MDL,black,1314.7,2597578,11.9,45.7,457000
10446074,Moss,40746,6-Jul-04,13.9,I,3,Ye,4.3,21,6.61,70.84,5,0.01,0.35,0.95,2.41,0.1,0.37,10.28,0.22,0.95,15.24,1.62,4.85,96.96,3,0.5,1.77,0.33,1.75,2.67,5.71,0.94,40.33,0.43,10.75,0.13,0.49,39.77,2.47,120.98,88.69,16.62,4.99,11.63,MDL,black,1314.7,2597578,11.9,45.7,457000
